post_id,syntax_ari,lex_liwc_WC,lex_liwc_Analytic,lex_liwc_Clout,lex_liwc_Authentic,lex_liwc_Tone,lex_liwc_WPS,lex_liwc_Sixltr,lex_liwc_Dic,lex_liwc_function,lex_liwc_pronoun,lex_liwc_ppron,lex_liwc_i,lex_liwc_we,lex_liwc_you,lex_liwc_shehe,lex_liwc_they,lex_liwc_ipron,lex_liwc_article,lex_liwc_prep,lex_liwc_auxverb,lex_liwc_adverb,lex_liwc_conj,lex_liwc_negate,lex_liwc_verb,lex_liwc_adj,lex_liwc_compare,lex_liwc_interrog,lex_liwc_number,lex_liwc_quant,lex_liwc_affect,lex_liwc_posemo,lex_liwc_negemo,lex_liwc_anx,lex_liwc_anger,lex_liwc_sad,lex_liwc_social,lex_liwc_family,lex_liwc_friend,lex_liwc_female,lex_liwc_male,lex_liwc_cogproc,lex_liwc_insight,lex_liwc_cause,lex_liwc_discrep,lex_liwc_tentat,lex_liwc_certain,lex_liwc_differ,lex_liwc_percept,lex_liwc_see,lex_liwc_hear,lex_liwc_feel,lex_liwc_bio,lex_liwc_body,lex_liwc_health,lex_liwc_sexual,lex_liwc_ingest,lex_liwc_drives,lex_liwc_affiliation,lex_liwc_achieve,lex_liwc_power,lex_liwc_reward,lex_liwc_risk,lex_liwc_focuspast,lex_liwc_focuspresent,lex_liwc_focusfuture,lex_liwc_relativ,lex_liwc_motion,lex_liwc_space,lex_liwc_time,lex_liwc_work,lex_liwc_leisure,lex_liwc_home,lex_liwc_money,lex_liwc_relig,lex_liwc_death,lex_liwc_informal,lex_liwc_swear,lex_liwc_netspeak,lex_liwc_assent,lex_liwc_nonflu,lex_liwc_filler,lex_liwc_AllPunc,lex_liwc_Period,lex_liwc_Comma,lex_liwc_Colon,lex_liwc_SemiC,lex_liwc_QMark,lex_liwc_Exclam,lex_liwc_Dash,lex_liwc_Quote,lex_liwc_Apostro,lex_liwc_Parenth,lex_liwc_OtherP,lex_dal_max_pleasantness,lex_dal_max_activation,lex_dal_max_imagery,lex_dal_min_pleasantness,lex_dal_min_activation,lex_dal_min_imagery,lex_dal_avg_activation,lex_dal_avg_imagery,lex_dal_avg_pleasantness,social_upvote_ratio,social_num_comments,syntax_fk_grade,sentiment,label
8601tu,1.806818182,116,72.64,15.04,89.26,1.0,29.0,12.93,87.07,56.03,16.38,12.07,9.48,0.0,0.86,1.72,0.0,4.31,3.45,19.83,7.76,5.17,4.31,1.72,16.38,6.03,3.45,0.86,1.72,1.72,8.62,1.72,6.9,0.86,2.59,3.45,3.45,0.0,0.0,0.0,1.72,11.21,3.45,0.86,2.59,5.17,0.0,2.59,6.03,1.72,1.72,1.72,2.59,0.86,1.72,0.0,0.0,8.62,0.0,1.72,4.31,0.86,2.59,4.31,11.21,0.86,17.24,0.86,10.34,6.03,0.86,0.0,0.0,0.0,2.59,0.0,0.86,0.86,0.0,0.0,0.0,0.0,21.55,9.48,3.45,0.86,0.86,0.0,0.0,0.0,5.17,1.72,0.0,0.0,2.8571,2.625,3.0,1.0,1.125,1.0,1.77,1.52211,1.89556,0.86,1,3.253572568,-0.002741703,1
8lbrx9,9.429736842,109,79.08,76.85,56.75,98.18,27.25,21.1,87.16,48.62,11.93,7.34,1.83,2.75,2.75,0.0,0.0,4.59,8.26,13.76,6.42,3.67,8.26,0.92,15.6,2.75,0.92,0.92,2.75,0.92,5.5,5.5,0.0,0.0,0.0,0.0,11.01,0.0,0.0,0.0,0.0,11.93,1.83,0.0,3.67,5.5,1.83,6.42,0.92,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,5.5,3.67,7.34,2.75,0.0,0.92,13.76,0.92,15.6,2.75,10.09,1.83,11.01,0.0,0.0,0.92,0.0,0.0,1.83,0.0,0.92,0.0,0.0,0.0,14.68,4.59,2.75,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.92,3.67,3.0,2.8889,3.0,1.125,1.0,1.0,1.69586,1.62045,1.88919,0.65,2,8.828315789,0.292857143,0
9ch1zh,7.769821429,167,33.8,76.38,86.24,25.77,33.4,17.37,91.02,61.68,25.15,16.17,8.98,1.8,1.8,2.99,0.6,8.98,5.39,12.57,10.18,1.8,5.99,1.2,20.96,1.2,0.6,0.6,1.2,1.8,2.4,1.2,1.2,0.0,0.0,0.0,15.57,0.6,3.59,1.8,2.4,10.18,4.19,1.2,0.6,2.99,0.0,1.8,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,8.98,5.39,0.6,1.2,2.4,0.0,3.59,14.37,1.8,16.17,4.79,5.99,5.39,0.0,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78,2.4,3.59,0.0,0.0,0.6,0.0,0.0,2.4,1.8,0.0,0.0,2.7143,3.0,3.0,1.0,1.1429,1.0,1.83088,1.58108,1.85828,0.67,0,7.841666667,0.011893939,1
7rorpp,2.667797548,273,2.98,15.25,95.42,79.26,54.6,8.06,98.9,65.57,30.4,23.44,16.12,0.37,0.37,6.59,0.0,6.96,3.3,9.16,8.79,6.59,9.89,3.66,20.88,3.66,1.83,1.1,0.0,1.1,8.79,5.86,2.93,0.0,0.37,0.73,13.55,0.37,1.1,0.37,8.06,16.85,7.69,0.73,1.83,1.83,1.47,4.76,7.33,1.1,0.0,5.49,2.2,0.0,0.0,0.37,0.37,6.59,4.03,0.0,0.73,1.1,0.73,7.69,13.19,1.1,10.99,1.83,3.3,6.23,0.73,0.37,0.37,0.0,0.0,0.0,2.56,0.0,0.73,0.73,0.0,0.0,12.09,2.56,7.33,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.73,0.0,3.0,2.6364,3.0,1.0,1.125,1.0,1.75356,1.52114,1.98848,0.5,5,4.104027284,0.141670829,1
9p2gbc,7.554238095,89,32.22,28.71,84.01,1.0,17.8,31.46,88.76,52.81,15.73,11.24,7.87,0.0,0.0,3.37,0.0,4.49,4.49,8.99,13.48,4.49,4.49,2.25,13.48,4.49,2.25,1.12,1.12,1.12,7.87,0.0,7.87,1.12,4.49,0.0,8.99,0.0,0.0,0.0,4.49,11.24,3.37,2.25,0.0,0.0,1.12,4.49,2.25,0.0,0.0,2.25,2.25,0.0,1.12,1.12,0.0,7.87,0.0,2.25,4.49,0.0,1.12,5.62,6.74,0.0,14.61,2.25,2.25,10.11,1.12,0.0,2.25,1.12,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,16.85,5.62,6.74,1.12,0.0,0.0,0.0,0.0,0.0,1.12,2.25,0.0,3.0,3.0,3.0,1.0,1.125,1.0,1.77644,1.64872,1.81456,1.0,1,7.910952381,-0.204166667,1
7tx7et,3.531123853,105,28.22,46.19,82.75,1.0,21.0,10.48,92.38,63.81,20.95,15.24,8.57,3.81,0.0,2.86,0.0,5.71,1.9,19.05,14.29,2.86,6.67,4.76,25.71,3.81,1.9,2.86,2.86,2.86,5.71,0.95,4.76,0.95,0.95,1.9,13.33,0.0,0.95,0.0,3.81,15.24,3.81,0.95,3.81,0.95,0.95,4.76,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.0,16.19,7.62,2.86,3.81,0.95,0.95,1.9,20.95,0.95,16.19,1.9,10.48,3.81,2.86,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.0,0.0,0.0,28.57,4.76,5.71,0.95,0.95,2.86,0.0,0.95,0.0,6.67,1.9,3.81,2.6,2.8,3.0,1.0,1.1818,1.0,1.70415,1.44396,1.82046,0.75,5,4.338428899,-0.55,1
7iphly,8.331463415,119,22.47,92.33,10.42,84.87,23.8,11.76,94.96,63.87,22.69,20.17,5.88,2.52,0.0,11.76,0.0,2.52,5.04,15.13,9.24,5.04,10.92,3.36,21.01,5.04,2.52,1.68,0.84,2.52,5.04,4.2,0.84,0.0,0.0,0.84,26.05,1.68,0.0,2.52,10.08,10.08,0.0,1.68,0.84,1.68,0.84,5.04,4.2,2.52,1.68,0.0,0.84,0.0,0.84,0.84,0.0,6.72,3.36,0.84,2.52,0.0,0.0,14.29,5.04,0.0,15.13,0.84,7.56,7.56,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.13,4.2,7.56,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,3.0,2.6,3.0,1.0,1.125,1.0,1.66985,1.57757,1.89926,0.88,29,8.394243902,0.277380952,0
5m3k80,0.403678887,112,11.24,6.47,99.0,1.0,22.4,8.04,98.21,60.71,21.43,12.5,12.5,0.0,0.0,0.0,0.0,8.93,2.68,11.61,8.93,8.93,12.5,0.0,20.54,4.46,3.57,2.68,0.0,0.89,8.04,1.79,6.25,2.68,0.0,0.89,0.89,0.0,0.0,0.0,0.0,14.29,5.36,3.57,0.89,0.89,0.89,3.57,0.0,0.0,0.0,0.0,4.46,3.57,0.89,0.0,0.0,9.82,0.0,2.68,2.68,2.68,2.68,10.71,8.04,2.68,18.75,0.89,4.46,13.39,1.79,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.89,0.0,0.0,4.46,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8333,2.5,2.6,1.0,1.1429,1.0,1.69549,1.4486,1.88963,1.0,0,1.028653603,-0.07962963,1
7nhy1v,5.381111111,81,74.89,64.46,98.76,1.0,16.2,19.75,95.06,55.56,18.52,17.28,11.11,3.7,0.0,2.47,0.0,1.23,6.17,17.28,3.7,6.17,4.94,1.23,11.11,6.17,3.7,2.47,2.47,1.23,7.41,0.0,7.41,1.23,0.0,3.7,14.81,3.7,0.0,0.0,6.17,8.64,3.7,0.0,0.0,2.47,1.23,2.47,3.7,0.0,0.0,3.7,1.23,0.0,1.23,0.0,0.0,12.35,9.88,0.0,1.23,0.0,2.47,0.0,11.11,0.0,19.75,4.94,8.64,6.17,2.47,0.0,1.23,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.58,6.17,1.23,1.23,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0,2.8333,2.8889,3.0,1.0,1.0,1.0,1.73571,1.71471,1.93607,0.94,43,5.991049383,-0.272916667,1
61eiq6,1.562350814,76,24.27,50.0,74.76,1.0,12.67,6.58,97.37,56.58,15.79,11.84,7.89,2.63,0.0,1.32,0.0,3.95,5.26,11.84,10.53,11.84,7.89,1.32,15.79,6.58,2.63,1.32,1.32,3.95,7.89,1.32,6.58,0.0,5.26,0.0,13.16,0.0,1.32,0.0,1.32,9.21,3.95,1.32,0.0,0.0,1.32,2.63,3.95,0.0,0.0,3.95,9.21,3.95,2.63,1.32,2.63,10.53,5.26,0.0,3.95,0.0,1.32,1.32,19.74,0.0,11.84,0.0,6.58,5.26,0.0,3.95,0.0,0.0,0.0,1.32,5.26,3.95,0.0,1.32,0.0,0.0,15.79,7.89,2.63,0.0,0.0,1.32,0.0,0.0,0.0,3.95,0.0,0.0,2.8333,2.8182,3.0,1.0,1.125,1.0,1.74956,1.67353,1.8932,0.8,6,2.851934901,-0.117261905,1
